model_key,dataset_key,strategy,sample_count,correct_count,accuracy,mean_vote_count,mean_avg_complexity,mean_max_complexity
qwen2_5_0_5b_instruct,csqa,most_complex,100,44,0.44,1.0,55.063333,90.47
qwen2_5_0_5b_instruct,csqa,complexity_weighted_vote,100,44,0.44,165.19,55.063333,90.47
qwen2_5_0_5b_instruct,gsm8k,most_complex,100,33,0.33,1.0,238.795,294.83
qwen2_5_0_5b_instruct,gsm8k,complexity_weighted_vote,100,42,0.42,714.2,238.795,294.83
qwen2_5_0_5b_instruct,mmlu,most_complex,100,37,0.37,0.98,271.905,350.34
qwen2_5_0_5b_instruct,mmlu,complexity_weighted_vote,100,38,0.38,738.15,271.905,350.34
qwen2_5_1_5b_instruct,csqa,most_complex,100,65,0.65,1.0,33.37,34.09
qwen2_5_1_5b_instruct,csqa,complexity_weighted_vote,100,67,0.67,100.11,33.37,34.09
qwen2_5_1_5b_instruct,gsm8k,most_complex,100,59,0.59,1.0,174.736667,222.06
qwen2_5_1_5b_instruct,gsm8k,complexity_weighted_vote,100,65,0.65,524.21,174.736667,222.06
qwen2_5_1_5b_instruct,mmlu,most_complex,100,50,0.5,0.99,122.213333,186.99
qwen2_5_1_5b_instruct,mmlu,complexity_weighted_vote,100,50,0.5,357.09,122.213333,186.99
tinyllama_1_1b_chat,csqa,most_complex,100,25,0.25,1.0,339.42,463.69
tinyllama_1_1b_chat,csqa,complexity_weighted_vote,100,25,0.25,933.35,339.42,463.69
tinyllama_1_1b_chat,gsm8k,most_complex,100,1,0.01,1.0,235.263333,336.19
tinyllama_1_1b_chat,gsm8k,complexity_weighted_vote,100,2,0.02,690.23,235.263333,336.19
tinyllama_1_1b_chat,mmlu,most_complex,100,25,0.25,0.97,337.046667,412.21
tinyllama_1_1b_chat,mmlu,complexity_weighted_vote,100,24,0.24,691.55,337.046667,412.21
