model_key,dataset_key,method,sample_count,correct_count,accuracy,valid_path_rate,answer_extraction_failure_rate,vote_changed_rate,mean_unique_answers_before,mean_unique_answers_after,mean_majority_share_before,mean_majority_share_after,mean_duplicate_reasoning_ratio,wrong_to_correct_count,correct_to_wrong_count
qwen2_5_0_5b_instruct,csqa,original_sc,100,43,0.43,1.0,0.0,0.0,1.73,1.73,0.756667,0.756667,0.32,0,0
qwen2_5_0_5b_instruct,csqa,normalized_vote,100,43,0.43,1.0,0.0,0.0,1.73,1.73,0.756667,0.756667,0.32,0,0
qwen2_5_0_5b_instruct,csqa,normalized_filtered_vote,100,43,0.43,1.0,0.0,0.0,1.73,1.73,0.756667,0.756667,0.32,0,0
qwen2_5_0_5b_instruct,gsm8k,original_sc,100,20,0.2,1.0,0.0,0.0,2.85,2.85,0.383333,0.383333,0.0,0,0
qwen2_5_0_5b_instruct,gsm8k,normalized_vote,100,45,0.45,1.0,0.0,0.64,2.85,2.33,0.383333,0.556667,0.0,26,1
qwen2_5_0_5b_instruct,gsm8k,normalized_filtered_vote,100,45,0.45,0.996667,0.003333,0.64,2.85,2.32,0.383333,0.556667,0.0,26,1
qwen2_5_0_5b_instruct,mmlu,original_sc,100,33,0.33,1.0,0.0,0.0,2.37,2.37,0.543333,0.543333,0.003333,0,0
qwen2_5_0_5b_instruct,mmlu,normalized_vote,100,35,0.35,1.0,0.0,0.18,2.37,2.25,0.543333,0.583333,0.003333,2,0
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,100,35,0.35,0.896667,0.103333,0.17,2.37,2.02,0.543333,0.55,0.003333,2,0
qwen2_5_1_5b_instruct,csqa,original_sc,100,67,0.67,1.0,0.0,0.0,1.18,1.18,0.94,0.94,0.586667,0,0
qwen2_5_1_5b_instruct,csqa,normalized_vote,100,67,0.67,1.0,0.0,0.0,1.18,1.18,0.94,0.94,0.586667,0,0
qwen2_5_1_5b_instruct,csqa,normalized_filtered_vote,100,67,0.67,1.0,0.0,0.0,1.18,1.18,0.94,0.94,0.586667,0,0
qwen2_5_1_5b_instruct,gsm8k,original_sc,100,67,0.67,1.0,0.0,0.0,1.92,1.92,0.693333,0.693333,0.0,0,0
qwen2_5_1_5b_instruct,gsm8k,normalized_vote,100,69,0.69,1.0,0.0,0.03,1.92,1.85,0.693333,0.716667,0.0,2,0
qwen2_5_1_5b_instruct,gsm8k,normalized_filtered_vote,100,69,0.69,1.0,0.0,0.03,1.92,1.85,0.693333,0.716667,0.0,2,0
qwen2_5_1_5b_instruct,mmlu,original_sc,100,50,0.5,1.0,0.0,0.0,1.63,1.63,0.79,0.79,0.106667,0,0
qwen2_5_1_5b_instruct,mmlu,normalized_vote,100,50,0.5,1.0,0.0,0.02,1.63,1.61,0.79,0.796667,0.106667,0,0
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,100,50,0.5,0.973333,0.026667,0.02,1.63,1.55,0.79,0.786667,0.106667,0,0
tinyllama_1_1b_chat,csqa,original_sc,100,27,0.27,1.0,0.0,0.0,2.15,2.15,0.616667,0.616667,0.003333,0,0
tinyllama_1_1b_chat,csqa,normalized_vote,100,26,0.26,1.0,0.0,0.09,2.15,2.07,0.616667,0.643333,0.003333,0,1
tinyllama_1_1b_chat,csqa,normalized_filtered_vote,100,29,0.29,0.906667,0.093333,0.08,2.15,1.81,0.616667,0.636667,0.003333,2,0
tinyllama_1_1b_chat,gsm8k,original_sc,100,1,0.01,1.0,0.0,0.0,2.93,2.93,0.356667,0.356667,0.0,0,0
tinyllama_1_1b_chat,gsm8k,normalized_vote,100,4,0.04,1.0,0.0,0.32,2.93,2.84,0.356667,0.386667,0.0,3,0
tinyllama_1_1b_chat,gsm8k,normalized_filtered_vote,100,5,0.05,0.98,0.02,0.32,2.93,2.78,0.356667,0.386667,0.0,4,0
tinyllama_1_1b_chat,mmlu,original_sc,100,9,0.09,1.0,0.0,0.0,2.78,2.78,0.406667,0.406667,0.0,0,0
tinyllama_1_1b_chat,mmlu,normalized_vote,100,14,0.14,1.0,0.0,0.51,2.78,2.33,0.406667,0.556667,0.0,5,0
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,100,23,0.23,0.656667,0.343333,0.46,2.78,1.61,0.406667,0.443333,0.0,14,0
