model_key,dataset_key,method,num_paths_used,sample_count,correct_count,accuracy,absolute_gain_vs_original_sc,valid_vote_rate,vote_changed_rate,mean_majority_share
qwen2_5_0_5b_instruct,csqa,original_sc,1,100,38,0.38,-0.05,1.0,0.07,1.0
qwen2_5_0_5b_instruct,csqa,original_sc,2,100,38,0.38,-0.05,1.0,0.07,0.785
qwen2_5_0_5b_instruct,csqa,original_sc,3,100,43,0.43,0.0,1.0,0.0,0.756667
qwen2_5_0_5b_instruct,csqa,normalized_filtered_vote,1,100,38,0.38,-0.05,1.0,0.07,1.0
qwen2_5_0_5b_instruct,csqa,normalized_filtered_vote,2,100,38,0.38,-0.05,1.0,0.07,0.785
qwen2_5_0_5b_instruct,csqa,normalized_filtered_vote,3,100,43,0.43,0.0,1.0,0.0,0.756667
qwen2_5_0_5b_instruct,gsm8k,original_sc,1,100,17,0.17,-0.03,1.0,0.04,1.0
qwen2_5_0_5b_instruct,gsm8k,original_sc,2,100,17,0.17,-0.03,1.0,0.04,0.525
qwen2_5_0_5b_instruct,gsm8k,original_sc,3,100,20,0.2,0.0,1.0,0.0,0.383333
qwen2_5_0_5b_instruct,gsm8k,normalized_filtered_vote,1,100,37,0.37,0.17,1.0,0.61,1.0
qwen2_5_0_5b_instruct,gsm8k,normalized_filtered_vote,2,100,37,0.37,0.17,1.0,0.61,0.625
qwen2_5_0_5b_instruct,gsm8k,normalized_filtered_vote,3,100,45,0.45,0.25,1.0,0.64,0.556667
qwen2_5_0_5b_instruct,mmlu,original_sc,1,100,32,0.32,-0.01,1.0,0.1,1.0
qwen2_5_0_5b_instruct,mmlu,original_sc,2,100,32,0.32,-0.01,1.0,0.1,0.645
qwen2_5_0_5b_instruct,mmlu,original_sc,3,100,33,0.33,0.0,1.0,0.0,0.543333
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,1,100,34,0.34,0.01,0.91,0.27,0.91
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,2,100,34,0.34,0.01,0.96,0.27,0.63
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,3,100,35,0.35,0.02,0.98,0.17,0.55
qwen2_5_1_5b_instruct,csqa,original_sc,1,100,65,0.65,-0.02,1.0,0.06,1.0
qwen2_5_1_5b_instruct,csqa,original_sc,2,100,65,0.65,-0.02,1.0,0.06,0.94
qwen2_5_1_5b_instruct,csqa,original_sc,3,100,67,0.67,0.0,1.0,0.0,0.94
qwen2_5_1_5b_instruct,csqa,normalized_filtered_vote,1,100,65,0.65,-0.02,1.0,0.06,1.0
qwen2_5_1_5b_instruct,csqa,normalized_filtered_vote,2,100,65,0.65,-0.02,1.0,0.06,0.94
qwen2_5_1_5b_instruct,csqa,normalized_filtered_vote,3,100,67,0.67,0.0,1.0,0.0,0.94
qwen2_5_1_5b_instruct,gsm8k,original_sc,1,100,63,0.63,-0.04,1.0,0.09,1.0
qwen2_5_1_5b_instruct,gsm8k,original_sc,2,100,63,0.63,-0.04,1.0,0.09,0.74
qwen2_5_1_5b_instruct,gsm8k,original_sc,3,100,67,0.67,0.0,1.0,0.0,0.693333
qwen2_5_1_5b_instruct,gsm8k,normalized_filtered_vote,1,100,64,0.64,-0.03,1.0,0.09,1.0
qwen2_5_1_5b_instruct,gsm8k,normalized_filtered_vote,2,100,64,0.64,-0.03,1.0,0.09,0.765
qwen2_5_1_5b_instruct,gsm8k,normalized_filtered_vote,3,100,69,0.69,0.02,1.0,0.03,0.716667
qwen2_5_1_5b_instruct,mmlu,original_sc,1,100,51,0.51,0.01,1.0,0.11,1.0
qwen2_5_1_5b_instruct,mmlu,original_sc,2,100,51,0.51,0.01,1.0,0.11,0.82
qwen2_5_1_5b_instruct,mmlu,original_sc,3,100,50,0.5,0.0,1.0,0.0,0.79
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,1,100,51,0.51,0.01,0.97,0.13,0.97
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,2,100,51,0.51,0.01,0.99,0.12,0.815
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,3,100,50,0.5,0.0,0.99,0.02,0.786667
tinyllama_1_1b_chat,csqa,original_sc,1,100,27,0.27,0.0,1.0,0.15,1.0
tinyllama_1_1b_chat,csqa,original_sc,2,100,27,0.27,0.0,1.0,0.15,0.66
tinyllama_1_1b_chat,csqa,original_sc,3,100,27,0.27,0.0,1.0,0.0,0.616667
tinyllama_1_1b_chat,csqa,normalized_filtered_vote,1,100,28,0.28,0.01,0.93,0.22,0.93
tinyllama_1_1b_chat,csqa,normalized_filtered_vote,2,100,30,0.3,0.03,0.99,0.22,0.68
tinyllama_1_1b_chat,csqa,normalized_filtered_vote,3,100,29,0.29,0.02,1.0,0.08,0.636667
tinyllama_1_1b_chat,gsm8k,original_sc,1,100,1,0.01,0.0,1.0,0.0,1.0
tinyllama_1_1b_chat,gsm8k,original_sc,2,100,1,0.01,0.0,1.0,0.0,0.51
tinyllama_1_1b_chat,gsm8k,original_sc,3,100,1,0.01,0.0,1.0,0.0,0.356667
tinyllama_1_1b_chat,gsm8k,normalized_filtered_vote,1,100,4,0.04,0.03,0.99,0.3,0.99
tinyllama_1_1b_chat,gsm8k,normalized_filtered_vote,2,100,5,0.05,0.04,1.0,0.3,0.52
tinyllama_1_1b_chat,gsm8k,normalized_filtered_vote,3,100,5,0.05,0.04,1.0,0.32,0.386667
tinyllama_1_1b_chat,mmlu,original_sc,1,100,8,0.08,-0.01,1.0,0.07,1.0
tinyllama_1_1b_chat,mmlu,original_sc,2,100,8,0.08,-0.01,1.0,0.07,0.525
tinyllama_1_1b_chat,mmlu,original_sc,3,100,9,0.09,0.0,1.0,0.0,0.406667
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,1,100,12,0.12,0.03,0.65,0.51,0.65
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,2,100,17,0.17,0.08,0.86,0.48,0.475
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,3,100,23,0.23,0.14,0.97,0.46,0.443333
