model_key,dataset_key,num_paths,temperature,source,sample_count,correct_count,accuracy,total_paths,relative_path_cost,mean_majority_share,mean_unique_answers,mean_answer_entropy,tie_rate,invalid_answer_rate,answer_extraction_success_rate,baseline_accuracy,accuracy_gain_vs_A_sc,gain_per_extra_path
qwen2_5_0_5b_instruct,csqa,3,0.7,taskA_baseline,100,43,0.43,300,1.0,0.756667,1.73,0.637644,0.13,0.0,1.0,0.43,0.0,
qwen2_5_0_5b_instruct,gsm8k,3,0.7,taskA_baseline,100,20,0.2,300,1.0,0.383333,2.85,1.482446,0.86,0.0,1.0,0.2,0.0,
qwen2_5_1_5b_instruct,csqa,3,0.7,taskA_baseline,100,67,0.67,300,1.0,0.94,1.18,0.160261,0.02,0.0,1.0,0.67,0.0,
qwen2_5_1_5b_instruct,gsm8k,3,0.7,taskA_baseline,100,67,0.67,300,1.0,0.693333,1.92,0.776892,0.27,0.0,1.0,0.67,0.0,
tinyllama_1_1b_chat,csqa,3,0.7,taskA_baseline,100,27,0.27,300,1.0,0.616667,2.15,0.978035,0.31,0.0,1.0,0.27,0.0,
tinyllama_1_1b_chat,gsm8k,3,0.7,taskA_baseline,100,1,0.01,300,1.0,0.356667,2.93,1.53578,0.94,0.0,1.0,0.01,0.0,
qwen2_5_0_5b_instruct,csqa,5,0.7,taskC,100,45,0.45,500,1.666667,0.66,2.3,0.977629,0.21,0.0,1.0,0.43,0.02,0.01
qwen2_5_0_5b_instruct,gsm8k,5,0.7,taskC,100,20,0.2,500,1.666667,0.26,4.7,2.186379,0.79,0.002,0.998,0.2,0.0,0.0
qwen2_5_1_5b_instruct,csqa,5,0.7,taskC,100,68,0.68,500,1.666667,0.924,1.32,0.242313,0.0,0.0,1.0,0.67,0.01,0.005
qwen2_5_1_5b_instruct,csqa,8,0.7,taskC,100,66,0.66,800,2.666667,0.9225,1.35,0.244628,0.02,0.0,1.0,0.67,-0.01,-0.002
qwen2_5_1_5b_instruct,gsm8k,5,0.7,taskC,100,70,0.7,500,1.666667,0.636,2.71,1.122019,0.19,0.0,1.0,0.67,0.03,0.015
qwen2_5_1_5b_instruct,gsm8k,8,0.7,taskC,100,77,0.77,800,2.666667,0.64625,3.49,1.291941,0.11,0.0,1.0,0.67,0.1,0.02
tinyllama_1_1b_chat,csqa,5,0.7,taskC,100,26,0.26,500,1.666667,0.56,3.04,1.38315,0.13,0.0,1.0,0.27,-0.01,-0.005
tinyllama_1_1b_chat,gsm8k,5,0.7,taskC,100,1,0.01,500,1.666667,0.262,4.69,2.189399,0.74,0.0,1.0,0.01,0.0,0.0
