model_key,dataset_key,num_paths,temperature,source,sample_count,correct_count,accuracy,total_paths,relative_path_cost,mean_majority_share,mean_unique_answers,mean_answer_entropy,tie_rate,invalid_answer_rate,answer_extraction_success_rate,baseline_accuracy,accuracy_gain_vs_A_sc,gain_per_extra_path
qwen2_5_1_5b_instruct,csqa,3,0.7,taskA_baseline,100,67,0.67,300,1.0,0.94,1.18,0.160261,0.02,0.0,1.0,0.67,0.0,
qwen2_5_1_5b_instruct,gsm8k,3,0.7,taskA_baseline,100,67,0.67,300,1.0,0.693333,1.92,0.776892,0.27,0.0,1.0,0.67,0.0,
tinyllama_1_1b_chat,csqa,3,0.7,taskA_baseline,100,27,0.27,300,1.0,0.616667,2.15,0.978035,0.31,0.0,1.0,0.27,0.0,
tinyllama_1_1b_chat,gsm8k,3,0.7,taskA_baseline,100,1,0.01,300,1.0,0.356667,2.93,1.53578,0.94,0.0,1.0,0.01,0.0,
qwen2_5_1_5b_instruct,csqa,3,0.3,taskC,100,66,0.66,300,1.0,0.983333,1.05,0.045915,0.0,0.0,1.0,0.67,-0.01,
qwen2_5_1_5b_instruct,csqa,3,1.0,taskC,100,58,0.58,300,1.0,0.853333,1.44,0.381404,0.09,0.0,1.0,0.67,-0.09,
qwen2_5_1_5b_instruct,gsm8k,3,0.3,taskC,100,75,0.75,300,1.0,0.81,1.57,0.488201,0.14,0.0,1.0,0.67,0.08,
qwen2_5_1_5b_instruct,gsm8k,3,1.0,taskC,100,57,0.57,300,1.0,0.583333,2.25,1.027088,0.48,0.0,1.0,0.67,-0.1,
tinyllama_1_1b_chat,csqa,3,0.3,taskC,100,21,0.21,300,1.0,0.776667,1.67,0.587579,0.11,0.0,1.0,0.27,-0.06,
tinyllama_1_1b_chat,gsm8k,3,0.3,taskC,100,3,0.03,300,1.0,0.42,2.74,1.40408,0.77,0.0,1.0,0.01,0.02,
