Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights:  44%|████▍     | 127/290 [00:00<00:00, 1241.80it/s]Loading weights:  90%|█████████ | 261/290 [00:00<00:00, 1297.60it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 1394.58it/s]
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'gsm8k', 'max_new_tokens': 192, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 16.671, 'seconds_per_generation': 16.671, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'gsm8k', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 16.43, 'seconds_per_generation': 16.43, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'csqa', 'max_new_tokens': 192, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 17.182, 'seconds_per_generation': 17.182, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 1.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'csqa', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 21.28, 'seconds_per_generation': 21.28, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'mmlu', 'max_new_tokens': 192, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 18.241, 'seconds_per_generation': 18.241, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 1.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'mmlu', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 19.855, 'seconds_per_generation': 19.855, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'few_shot', 'dataset': 'gsm8k', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 26.65, 'seconds_per_generation': 26.65, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'few_shot', 'dataset': 'csqa', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 11.798, 'seconds_per_generation': 11.798, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 1.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'few_shot', 'dataset': 'mmlu', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 31.707, 'seconds_per_generation': 31.707, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 1.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'self_consistency', 'dataset': 'gsm8k', 'max_new_tokens': 256, 'samples': 1, 'generations': 3, 'num_paths': 3, 'seconds_total': 57.634, 'seconds_per_generation': 19.211, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'self_consistency', 'dataset': 'csqa', 'max_new_tokens': 256, 'samples': 1, 'generations': 3, 'num_paths': 3, 'seconds_total': 24.213, 'seconds_per_generation': 8.071, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.6667}
